Gender,Age,Event,Time,Entries
Male,10,50FRSCY,24.42,Male-10-50FRSCY
Male,10,100FRSCY,53.12,Male-10-100FRSCY
Male,10,200FRSCY,‘01:56.41,Male-10-200FRSCY
Male,10,500FRSCY,‘05:06.32,Male-10-500FRSCY
Male,10,50BKSCY,26.91,Male-10-50BKSCY
Male,10,100BKSCY,58.62,Male-10-100BKSCY
Male,10,200BKSCY,,Male-10-200BKSCY
Male,10,50BRSCY,31.09,Male-10-50BRSCY
Male,10,100BRSCY,‘01:06.95,Male-10-100BRSCY
Male,10,200BRSCY,,Male-10-200BRSCY
Male,10,50FLSCY,26.58,Male-10-50FLSCY
Male,10,100FLSCY,58.36,Male-10-100FLSCY
Male,10,200FLSCY,,Male-10-200FLSCY
Male,10,100IMSCY,‘01:00.89,Male-10-100IMSCY
Male,10,200IMSCY,‘02:10.12,Male-10-200IMSCY
Male,10,400IMSCY,,Male-10-400IMSCY
Male,12,50FRSCY,21.5,Male-12-50FRSCY
Male,12,100FRSCY,47.15,Male-12-100FRSCY
Male,12,200FRSCY,‘01:44.28,Male-12-200FRSCY
Male,12,500FRSCY,‘04:41.26,Male-12-500FRSCY
Male,12,1000FRSCY,‘09:38.50,Male-12-1000FRSCY
Male,12,1650FRSCY,‘16:17.8,Male-12-1650FRSCY
Male,12,50BKSCY,23.65,Male-12-50BKSCY
Male,12,100BKSCY,50.99,Male-12-100BKSCY
Male,12,200BKSCY,‘01:52.47,Male-12-200BKSCY
Male,12,50BRSCY,27.2,Male-12-50BRSCY
Male,12,100BRSCY,58.17,Male-12-100BRSCY
Male,12,200BRSCY,‘02:05.56,Male-12-200BRSCY
Male,12,50FLSCY,22.87,Male-12-50FLSCY
Male,12,100FLSCY,50.82,Male-12-100FLSCY
Male,12,200FLSCY,‘01:53.66,Male-12-200FLSCY
Male,12,100IMSCY,53.86,Male-12-100IMSCY
Male,12,200IMSCY,‘01:55.75,Male-12-200IMSCY
Male,12,400IMSCY,‘04:07.81,Male-12-400IMSCY
Male,14,50FRSCY,19.76,Male-14-50FRSCY
Male,14,100FRSCY,43.51,Male-14-100FRSCY
Male,14,200FRSCY,‘01:34.68,Male-14-200FRSCY
Male,14,500FRSCY,‘04:14.83,Male-14-500FRSCY
Male,14,1000FRSCY,‘08:46.5,Male-14-1000FRSCY
Male,14,1650FRSCY,‘14:45.79,Male-14-1650FRSCY
Male,14,50BKSCY,21.87,Male-14-50BKSCY
Male,14,100BKSCY,47.44,Male-14-100BKSCY
Male,14,200BKSCY,‘01:43.15,Male-14-200BKSCY
Male,14,50BRSCY,24.74,Male-14-50BRSCY
Male,14,100BRSCY,53.06,Male-14-100BRSCY
Male,14,200BRSCY,‘01:55.52,Male-14-200BRSCY
Male,14,50FLSCY,21.28,Male-14-50FLSCY
Male,14,100FLSCY,45.81,Male-14-100FLSCY
Male,14,200FLSCY,‘01:42.77,Male-14-200FLSCY
Male,14,100IMSCY,,Male-14-100IMSCY
Male,14,200IMSCY,‘01:45.3,Male-14-200IMSCY
Male,14,400IMSCY,‘03:47.9,Male-14-400IMSCY
Male,18,50FRSCY,18.67,Male-18-50FRSCY
Male,18,100FRSCY,41.23,Male-18-100FRSCY
Male,18,200FRSCY,‘01:31.37,Male-18-200FRSCY
Male,18,500FRSCY,‘04:08.42,Male-18-500FRSCY
Male,18,1000FRSCY,‘08:43.66,Male-18-1000FRSCY
Male,18,1650FRSCY,‘14:29.48,Male-18-1650FRSCY
Male,18,50BKSCY,20.08,Male-18-50BKSCY
Male,18,100BKSCY,44.63,Male-18-100BKSCY
Male,18,200BKSCY,‘01:37.35,Male-18-200BKSCY
Male,18,50BRSCY,23.45,Male-18-50BRSCY
Male,18,100BRSCY,51.16,Male-18-100BRSCY
Male,18,200BRSCY,‘01:51.38,Male-18-200BRSCY
Male,18,50FLSCY,20.1,Male-18-50FLSCY
Male,18,100FLSCY,44.75,Male-18-100FLSCY
Male,18,200FLSCY,‘01:40.39,Male-18-200FLSCY
Male,18,100IMSCY,,Male-18-100IMSCY
Male,18,200IMSCY,‘01:41.18,Male-18-200IMSCY
Male,18,400IMSCY,‘03:35.27,Male-18-400IMSCY
Male,20,50FRSCY,17.63,Male-20-50FRSCY
Male,20,100FRSCY,39.9,Male-20-100FRSCY
Male,20,200FRSCY,‘01:29.15,Male-20-200FRSCY
Male,20,500FRSCY,‘04:06.32,Male-20-500FRSCY
Male,20,1000FRSCY,‘08:33.93,Male-20-1000FRSCY
Male,20,1650FRSCY,‘14:12.08,Male-20-1650FRSCY
Male,20,50BKSCY,20.08,Male-20-50BKSCY
Male,20,100BKSCY,43.35,Male-20-100BKSCY
Male,20,200BKSCY,‘01:35.73,Male-20-200BKSCY
Male,20,50BRSCY,23.45,Male-20-50BRSCY
Male,20,100BRSCY,49.69,Male-20-100BRSCY
Male,20,200BRSCY,‘01:47.91,Male-20-200BRSCY
Male,20,50FLSCY,20.1,Male-20-50FLSCY
Male,20,100FLSCY,42.8,Male-20-100FLSCY
Male,20,200FLSCY,‘01:37.35,Male-20-200FLSCY
Male,20,100IMSCY,,Male-20-100IMSCY
Male,20,200IMSCY,‘01:36.34,Male-20-200IMSCY
Male,20,400IMSCY,‘03:28.82,Male-20-400IMSCY
Female,10,50FRSCY,24.9,Female-10-50FRSCY
Female,10,100FRSCY,54.89,Female-10-100FRSCY
Female,10,200FRSCY,‘01:58.2,Female-10-200FRSCY
Female,10,500FRSCY,‘05:13.45,Female-10-500FRSCY
Female,10,50BKSCY,27.27,Female-10-50BKSCY
Female,10,100BKSCY,57.96,Female-10-100BKSCY
Female,10,200BKSCY,,Female-10-200BKSCY
Female,10,50BRSCY,31.73,Female-10-50BRSCY
Female,10,100BRSCY,‘01:07.3,Female-10-100BRSCY
Female,10,200BRSCY,,Female-10-200BRSCY
Female,10,50FLSCY,26.64,Female-10-50FLSCY
Female,10,100FLSCY,59.67,Female-10-100FLSCY
Female,10,200FLSCY,,Female-10-200FLSCY
Female,10,100IMSCY,‘01:01.5,Female-10-100IMSCY
Female,10,200IMSCY,‘02:11.99,Female-10-200IMSCY
Female,10,400IMSCY,,Female-10-400IMSCY
Female,12,50FRSCY,23.15,Female-12-50FRSCY
Female,12,100FRSCY,50.27,Female-12-100FRSCY
Female,12,200FRSCY,‘01:47.71,Female-12-200FRSCY
Female,12,500FRSCY,‘04:49.32,Female-12-500FRSCY
Female,12,1000FRSCY,‘09:57.33,Female-12-1000FRSCY
Female,12,1650FRSCY,‘16:34.13,Female-12-1650FRSCY
Female,12,50BKSCY,25.65,Female-12-50BKSCY
Female,12,100BKSCY,54.21,Female-12-100BKSCY
Female,12,200BKSCY,‘01:58.31,Female-12-200BKSCY
Female,12,50BRSCY,28.7,Female-12-50BRSCY
Female,12,100BRSCY,‘01:02.02,Female-12-100BRSCY
Female,12,200BRSCY,‘02:15.38,Female-12-200BRSCY
Female,12,50FLSCY,24.39,Female-12-50FLSCY
Female,12,100FLSCY,53.95,Female-12-100FLSCY
Female,12,200FLSCY,‘02:00.0,Female-12-200FLSCY
Female,12,100IMSCY,56.76,Female-12-100IMSCY
Female,12,200IMSCY,‘02:03.23,Female-12-200IMSCY
Female,12,400IMSCY,‘04:18.99,Female-12-400IMSCY
Female,14,50FRSCY,21.89,Female-14-50FRSCY
Female,14,100FRSCY,47.67,Female-14-100FRSCY
Female,14,200FRSCY,‘01:44.55,Female-14-200FRSCY
Female,14,500FRSCY,‘04:35.14,Female-14-500FRSCY
Female,14,1000FRSCY,‘09:29.81,Female-14-1000FRSCY
Female,14,1650FRSCY,‘15:52.84,Female-14-1650FRSCY
Female,14,50BKSCY,24,Female-14-50BKSCY
Female,14,100BKSCY,50.44,Female-14-100BKSCY
Female,14,200BKSCY,‘01:50.95,Female-14-200BKSCY
Female,14,50BRSCY,25.98,Female-14-50BRSCY
Female,14,100BRSCY,‘01:00.02,Female-14-100BRSCY
Female,14,200BRSCY,‘02:10.22,Female-14-200BRSCY
Female,14,50FLSCY,23.98,Female-14-50FLSCY
Female,14,100FLSCY,50.64,Female-14-100FLSCY
Female,14,200FLSCY,‘01:54.33,Female-14-200FLSCY
Female,14,100IMSCY,,Female-14-100IMSCY
Female,14,200IMSCY,‘01:55.73,Female-14-200IMSCY
Female,14,400IMSCY,‘04:06.95,Female-14-400IMSCY
Female,18,50FRSCY,21.32,Female-18-50FRSCY
Female,18,100FRSCY,46.09,Female-18-100FRSCY
Female,18,200FRSCY,‘01:40.31,Female-18-200FRSCY
Female,18,500FRSCY,‘04:26.58,Female-18-500FRSCY
Female,18,1000FRSCY,‘08:59.65,Female-18-1000FRSCY
Female,18,1650FRSCY,‘15:13.3,Female-18-1650FRSCY
Female,18,50BKSCY,22.52,Female-18-50BKSCY
Female,18,100BKSCY,49.46,Female-18-100BKSCY
Female,18,200BKSCY,‘01:47.16,Female-18-200BKSCY
Female,18,50BRSCY,25.98,Female-18-50BRSCY
Female,18,100BRSCY,57.29,Female-18-100BRSCY
Female,18,200BRSCY,‘02:04.32,Female-18-200BRSCY
Female,18,50FLSCY,22.96,Female-18-50FLSCY
Female,18,100FLSCY,49.24,Female-18-100FLSCY
Female,18,200FLSCY,‘01:50.15,Female-18-200FLSCY
Female,18,100IMSCY,,Female-18-100IMSCY
Female,18,200IMSCY,‘01:51.65,Female-18-200IMSCY
Female,18,400IMSCY,‘03:58.4,Female-18-400IMSCY
Female,20,50FRSCY,20.79,Female-20-50FRSCY
Female,20,100FRSCY,45.56,Female-20-100FRSCY
Female,20,200FRSCY,‘01:39.1,Female-20-200FRSCY
Female,20,500FRSCY,‘04:24.06,Female-20-500FRSCY
Female,20,1000FRSCY,‘08:59.65,Female-20-1000FRSCY
Female,20,1650FRSCY,‘15:01.41,Female-20-1650FRSCY
Female,20,50BKSCY,22.52,Female-20-50BKSCY
Female,20,100BKSCY,48.26,Female-20-100BKSCY
Female,20,200BKSCY,‘01:47.16,Female-20-200BKSCY
Female,20,50BRSCY,25.98,Female-20-50BRSCY
Female,20,100BRSCY,55.73,Female-20-100BRSCY
Female,20,200BRSCY,‘02:01.29,Female-20-200BRSCY
Female,20,50FLSCY,22.96,Female-20-50FLSCY
Female,20,100FLSCY,48.46,Female-20-100FLSCY
Female,20,200FLSCY,‘01:48.33,Female-20-200FLSCY
Female,20,100IMSCY,,Female-20-100IMSCY
Female,20,200IMSCY,‘01:48.37,Female-20-200IMSCY
Female,20,400IMSCY,‘03:54.60,Female-20-400IMSCY
